Roll No		Attendance Percentage
0		0%
0		0%
1009		0%
1109		0%
1309		0%
1409		0%
3609		0%
3709		0%
4109		0%
4409		0%
4809		0%
5209		0%
5709		0%
7109		0%
7309		0%
7609		0%
8009		0%
8809		0%
9209		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1610		0%
2010		0%
2410		0%
2710		0%
3110		0%
3210		0%
3910		0%
5710		0%
6710		0%
7810		0%
8010		0%
9210		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1311		0%
2211		0%
2511		0%
2811		0%
3111		0%
3211		0%
3611		0%
4311		0%
4411		0%
4911		0%
5011		0%
5411		0%
5511		0%
6711		0%
6811		0%
7211		0%
8011		0%
8411		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1312		0%
1912		0%
2012		0%
3112		0%
3412		0%
4012		0%
4212		0%
4612		0%
4812		0%
5512		0%
6012		0%
6712		0%
6912		0%
7212		0%
8912		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1113		0%
2113		0%
2513		0%
2613		0%
3013		0%
3313		0%
3413		0%
3613		0%
3913		0%
4913		0%
5313		0%
5513		0%
6313		0%
6513		0%
7813		0%
8213		0%
9013		0%
9113		0%
9313		0%
9513		0%
9613		0%
9713		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1114		0%
1914		0%
2014		0%
2414		0%
2614		0%
3514		0%
3614		0%
3714		0%
4614		0%
4814		0%
4914		0%
5214		0%
5314		0%
6314		0%
6414		0%
7014		0%
7214		0%
7314		0%
7614		0%
8014		0%
8414		0%
9914		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1015		0%
1915		0%
2215		0%
2315		0%
2515		0%
3415		0%
3615		0%
3815		0%
4215		0%
4415		0%
4915		0%
5015		0%
6115		0%
6415		0%
6615		0%
6715		0%
6815		0%
6915		0%
7115		0%
8815		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1016		0%
1916		0%
2316		0%
2716		0%
3516		0%
3816		0%
4716		0%
4916		0%
5116		0%
5516		0%
6216		0%
6316		0%
6916		0%
7316		0%
7716		0%
8116		0%
8716		0%
9216		0%
9316		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
2217		0%
2517		0%
3717		0%
4417		0%
4717		0%
6417		0%
6617		0%
6717		0%
6817		0%
7017		0%
7117		0%
7217		0%
7617		0%
7717		0%
7817		0%
8717		0%
9117		0%
9417		0%
9817		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1018		0%
1618		0%
1918		0%
2018		0%
2118		0%
2418		0%
3018		0%
3718		0%
4618		0%
5018		0%
5618		0%
5718		0%
6418		0%
6518		0%
6918		0%
7818		0%
8218		0%
8918		0%
9218		0%
9518		0%
9618		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1019		0%
1119		0%
1419		0%
1619		0%
2219		0%
2519		0%
2619		0%
2819		0%
2919		0%
3819		0%
4019		0%
4219		0%
5019		0%
5119		0%
5619		0%
5919		0%
6119		0%
6319		0%
6719		0%
7019		0%
7419		0%
7819		0%
8319		0%
8419		0%
8519		0%
8919		0%
9019		0%
9219		0%
9419		0%
9519		0%
9619		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1020		0%
1720		0%
2120		0%
2720		0%
3720		0%
3820		0%
4720		0%
5320		0%
6120		0%
6620		0%
7320		0%
7420		0%
9520		0%
9820		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1121		0%
1421		0%
1721		0%
2321		0%
3321		0%
3421		0%
4021		0%
4721		0%
5321		0%
5521		0%
5621		0%
6121		0%
6521		0%
7221		0%
8221		0%
9021		0%
9821		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
BT21CSD001		0%
BT21CSD002		0%
BT21CSD003		0%
BT21CSD004		0%
BT21CSD005		0%
BT21CSD006		0%
BT21CSD007		0%
BT21CSD008		0%
BT21CSD009		0%
BT21CSD010		0%
BT21CSD011		0%
BT21CSD012		0%
BT21CSD013		0%
BT21CSD014		0%
BT21CSD015		0%
BT21CSD016		0%
BT21CSD017		0%
BT21CSD018		0%
BT21CSD019		0%
BT21CSD020		0%
BT21CSD021		0%
BT21CSD022		0%
BT21CSD023		0%
BT21CSD024		0%
BT21CSD025		0%
BT21CSD026		0%
BT21CSD027		0%
BT21CSD028		0%
BT21CSD029		0%
BT21CSD030		0%
BT21CSD031		0%
BT21CSD032		0%
BT21CSD033		0%
BT21CSD034		0%
BT21CSD035		0%
BT21CSD036		0%
BT21CSD037		0%
BT21CSD038		0%
BT21CSD039		0%
BT21CSD040		0%
BT21CSD041		0%
BT21CSD042		0%
BT21CSD043		0%
BT21CSD044		0%
BT21CSD045		0%
BT21CSD046		0%
BT21CSD047		0%
BT21CSD048		0%
BT21CSD049		0%
BT21CSD050		0%
BT21CSD051		0%
BT21CSD052		0%
BT21CSD053		0%
BT21CSD054		0%
BT21CSD055		0%
BT21CSD056		0%
BT21CSD057		0%
BT21CSD058		0%
BT21CSD059		0%
BT21CSD060		0%
BT21CSD061		0%
BT21CSD062		0%
BT21CSD063		0%
BT21CSD064		0%
BT21CSD065		0%
BT21CSD066		0%
BT21CSD067		0%
BT21CSD068		0%
BT21CSD069		0%
BT21CSD070		0%
BT21CSE001		0%
BT21CSE002		0%
BT21CSE003		0%
BT21CSE004		0%
BT21CSE005		0%
BT21CSE006		0%
BT21CSE007		0%
BT21CSE008		0%
BT21CSE009		0%
BT21CSE010		0%
BT21CSE011		0%
BT21CSE012		0%
BT21CSE013		0%
BT21CSE014		0%
BT21CSE015		0%
BT21CSE016		0%
BT21CSE017		0%
BT21CSE018		0%
BT21CSE019		0%
BT21CSE020		0%
BT21CSE021		0%
BT21CSE022		0%
BT21CSE023		0%
BT21CSE024		0%
BT21CSE025		0%
BT21CSE026		0%
BT21CSE027		0%
BT21CSE028		0%
BT21CSE029		0%
BT21CSE030		0%
BT21CSE031		0%
BT21CSE032		0%
BT21CSE033		0%
BT21CSE034		0%
BT21CSE035		0%
BT21CSE036		0%
BT21CSE037		0%
BT21CSE038		0%
BT21CSE039		0%
BT21CSE040		0%
BT21CSE041		0%
BT21CSE042		0%
BT21CSE043		0%
BT21CSE044		0%
BT21CSE045		0%
BT21CSE046		0%
BT21CSE047		0%
BT21CSE048		0%
BT21CSE049		0%
BT21CSE050		0%
BT21CSE051		0%
BT21CSE052		0%
BT21CSE053		0%
BT21CSE054		0%
BT21CSE055		0%
BT21CSE056		0%
BT21CSE057		0%
BT21CSE058		0%
BT21CSE059		0%
BT21CSE060		0%
BT21CSE061		0%
BT21CSE062		0%
BT21CSE063		0%
BT21CSE064		0%
BT21CSE065		0%
BT21CSE066		0%
BT21CSE067		0%
BT21CSE068		0%
BT21CSE069		0%
BT21CSE070		0%
BT21CSE071		0%
BT21CSE072		0%
BT21CSE073		0%
BT21CSE074		0%
BT21CSE075		0%
BT21CSE076		0%
BT21CSE077		0%
BT21CSE078		0%
BT21CSE079		0%
BT21CSE080		0%
BT21CSE081		0%
BT21CSE082		0%
BT21CSE083		0%
BT21CSE084		0%
BT21CSE085		0%
BT21CSE086		0%
BT21CSE087		0%
BT21CSE088		0%
BT21CSE089		0%
BT21CSE090		0%
BT21CSE091		0%
BT21CSE092		0%
BT21CSE093		0%
BT21CSE094		0%
BT21CSE095		0%
BT21CSE096		0%
BT21CSE097		0%
BT21CSE098		0%
BT21CSE099		0%
BT21CSE100		0%
BT21CSE101		0%
BT21CSE102		0%
BT21CSE103		0%
BT21CSE104		0%
BT21CSE105		0%
BT21CSE106		0%
BT21CSE107		0%
BT21CSE108		0%
BT21CSE109		0%
BT21CSE110		0%
BT21CSE111		0%
BT21CSE112		0%
BT21CSE113		0%
BT21CSE114		0%
BT21CSE115		0%
BT21CSE116		0%
BT21CSE117		0%
BT21CSE118		0%
BT21CSE119		0%
BT21CSE120		0%
BT21CSE121		0%
BT21CSE122		0%
BT21CSE123		0%
BT21CSE124		0%
BT21CSE125		0%
BT21CSE126		0%
BT21CSE127		0%
BT21CSE128		0%
BT21CSE129		0%
BT21CSE130		0%
BT21CSE131		0%
BT21CSE132		0%
BT21CSE133		0%
BT21CSE134		0%
BT21CSE135		0%
BT21CSE136		0%
BT21CSE137		0%
BT21CSE138		0%
BT21CSE139		0%
BT21CSE140		0%
BT21CSE141		0%
BT21CSE142		0%
BT21CSE143		0%
BT21CSE144		0%
BT21CSE145		0%
BT21CSE146		0%
BT21CSE147		0%
BT21CSE148		0%
BT21CSE149		0%
BT21CSE150		0%
BT21CSE151		0%
BT21CSE152		0%
BT21CSE153		0%
BT21CSE154		0%
BT21CSE155		0%
BT21CSE156		0%
BT21CSE157		0%
BT21CSE158		0%
BT21CSE159		0%
BT21CSE160		0%
BT21CSE161		0%
BT21CSE162		0%
BT21CSE163		0%
BT21CSE164		0%
BT21CSE165		0%
BT21CSE166		0%
BT21CSE167		0%
BT21CSE168		0%
BT21CSE169		0%
BT21CSE170		0%
BT21CSE171		0%
BT21CSE172		0%
BT21CSE173		0%
BT21CSE174		0%
BT21CSE175		0%
BT21CSE176		0%
BT21CSE177		0%
BT21CSE178		0%
BT21CSE179		0%
BT21CSE180		0%
BT21CSE181		0%
BT21CSE182		0%
BT21CSE183		0%
BT21CSE184		0%
BT21CSE185		0%
BT21CSE186		0%
BT21CSE187		0%
BT21CSE188		0%
BT21CSE189		0%
BT21CSE190		0%
BT21CSE191		0%
BT21CSE192		0%
BT21CSE193		0%
BT21CSE194		0%
BT21CSE195		0%
BT21CSE196		0%
BT21CSE197		0%
BT21CSE198		0%
BT21CSE199		0%
BT21CSE200		0%
BT21CSE201		0%
BT21CSE202		0%
BT21CSE203		0%
BT21CSE204		0%
BT21CSE205		0%
BT21CSE206		0%
BT21CSE207		0%
BT21CSE208		0%
BT21CSE209		0%
BT21CSE210		0%
BT21CSH001		0%
BT21CSH002		0%
BT21CSH003		0%
BT21CSH004		0%
BT21CSH005		0%
BT21CSH006		0%
BT21CSH007		0%
BT21CSH008		0%
BT21CSH009		0%
BT21CSH010		0%
BT21CSH011		0%
BT21CSH012		0%
BT21CSH013		0%
BT21CSH014		0%
BT21CSH015		0%
BT21CSH016		0%
BT21CSH017		0%
BT21CSH018		0%
BT21CSH019		0%
BT21CSH020		0%
BT21CSH021		0%
BT21CSH022		0%
BT21CSH023		0%
BT21CSH024		0%
BT21CSH025		0%
BT21CSH026		0%
BT21CSH027		0%
BT21CSH028		0%
BT21CSH029		0%
BT21CSH030		0%
BT21CSH031		0%
BT21CSH032		0%
BT21CSH033		0%
BT21CSH034		0%
BT21CSH035		0%
BT21CSH036		0%
BT21CSH037		0%
BT21CSH038		0%
BT21CSH039		0%
BT21CSH040		0%
BT21CSH041		0%
BT21CSH042		0%
BT21CSH043		0%
BT21CSH044		0%
BT21CSH045		0%
BT21CSH046		0%
BT21CSH047		0%
BT21CSH048		0%
BT21CSH049		0%
BT21CSH050		0%
BT21CSH051		0%
BT21CSH052		0%
BT21CSH053		0%
BT21CSH054		0%
BT21CSH055		0%
BT21CSH056		0%
BT21CSH057		0%
BT21CSH058		0%
BT21CSH059		0%
BT21CSH060		0%
BT21CSH061		0%
BT21CSH062		0%
BT21CSH063		0%
BT21CSH064		0%
BT21CSH065		0%
BT21CSH066		0%
BT21CSH067		0%
BT21CSH068		0%
BT21CSH069		0%
BT21CSH070		0%
BT21ECE001		0%
BT21ECE002		0%
BT21ECE003		0%
BT21ECE004		0%
BT21ECE005		0%
BT21ECE006		0%
BT21ECE007		0%
BT21ECE008		0%
BT21ECE009		0%
BT21ECE010		0%
BT21ECE011		0%
BT21ECE012		0%
BT21ECE013		0%
BT21ECE014		0%
BT21ECE015		0%
BT21ECE016		0%
BT21ECE017		0%
BT21ECE018		0%
BT21ECE019		0%
BT21ECE020		0%
BT21ECE021		0%
BT21ECE022		0%
BT21ECE023		0%
BT21ECE024		0%
BT21ECE025		0%
BT21ECE026		0%
BT21ECE027		0%
BT21ECE028		0%
BT21ECE029		0%
BT21ECE030		0%
BT21ECE031		0%
BT21ECE032		0%
BT21ECE033		0%
BT21ECE034		0%
BT21ECE035		0%
BT21ECE036		0%
BT21ECE037		0%
BT21ECE038		0%
BT21ECE039		0%
BT21ECE040		0%
BT21ECE041		0%
BT21ECE042		0%
BT21ECE043		0%
BT21ECE044		0%
BT21ECE045		0%
BT21ECE046		0%
BT21ECE047		0%
BT21ECE048		0%
BT21ECE049		0%
BT21ECE050		0%
BT21ECE051		0%
BT21ECE052		0%
BT21ECE053		0%
BT21ECE054		0%
BT21ECE055		0%
BT21ECE056		0%
BT21ECE057		0%
BT21ECE058		0%
BT21ECE059		0%
BT21ECE060		0%
BT21ECE061		0%
BT21ECE062		0%
BT21ECE063		0%
BT21ECE064		0%
BT21ECE065		0%
BT21ECE066		0%
BT21ECE067		0%
BT21ECE068		0%
BT21ECE069		0%
BT21ECE070		0%
BT21ECE071		0%
BT21ECE072		0%
BT21ECE073		0%
BT21ECE074		0%
BT21ECE075		0%
BT21ECE076		0%
BT21ECE077		0%
BT21ECE078		0%
BT21ECE079		0%
BT21ECE080		0%
BT21ECE081		0%
BT21ECE082		0%
BT21ECE083		0%
BT21ECE084		0%
BT21ECE085		0%
BT21ECE086		0%
BT21ECE087		0%
BT21ECE088		0%
BT21ECE089		0%
BT21ECE090		0%
BT21ECE091		0%
BT21ECE092		0%
BT21ECE093		0%
BT21ECE094		0%
BT21ECE095		0%
BT21ECE096		0%
BT21ECE097		0%
BT21ECE098		0%
BT21ECE099		0%
BT21ECE100		0%
BT21ECE101		0%
BT21ECE102		0%
BT21ECE103		0%
BT21ECE104		0%
BT21ECE105		0%
BT21ECE106		0%
BT21ECE107		0%
BT21ECE108		0%
BT21ECE109		0%
BT21ECE110		0%
BT21ECE111		0%
BT21ECE112		0%
BT21ECE113		0%
BT21ECE114		0%
BT21ECE115		0%
BT21ECE116		0%
BT21ECE117		0%
BT21ECE118		0%
BT21ECE119		0%
BT21ECE120		0%
BT21ECE121		0%
BT21ECE122		0%
BT21ECE123		0%
BT21ECE124		0%
BT21ECE125		0%
BT21ECE126		0%
BT21ECE127		0%
BT21ECE128		0%
BT21ECE129		0%
BT21ECE130		0%
BT21ECE131		0%
BT21ECE132		0%
BT21ECE133		0%
BT21ECE134		0%
BT21ECE135		0%
BT21ECE136		0%
BT21ECE137		0%
BT21ECE138		0%
BT21ECE139		0%
BT21ECE140		0%
BT21ECE141		0%
BT21ECE142		0%
BT21ECE143		0%
BT21ECE144		0%
BT21ECE145		0%
BT21ECE146		0%
BT21ECE147		0%
BT21ECE148		0%
BT21ECE149		0%
BT21ECE150		0%
BT21ECI001		0%
BT21ECI002		0%
BT21ECI003		0%
BT21ECI004		0%
BT21ECI005		0%
BT21ECI006		0%
BT21ECI007		0%
BT21ECI008		0%
BT21ECI009		0%
BT21ECI010		0%
BT21ECI011		0%
BT21ECI012		0%
BT21ECI013		0%
BT21ECI014		0%
BT21ECI015		0%
BT21ECI016		0%
BT21ECI017		0%
BT21ECI018		0%
BT21ECI019		0%
BT21ECI020		0%
BT21ECI021		0%
BT21ECI022		0%
BT21ECI023		0%
BT21ECI024		0%
BT21ECI025		0%
BT21ECI026		0%
BT21ECI027		0%
BT21ECI028		0%
BT21ECI029		0%
BT21ECI030		0%
BT21ECI031		0%
BT21ECI032		0%
BT21ECI033		0%
BT21ECI034		0%
BT21ECI035		0%
BT21ECI036		0%
BT21ECI037		0%
BT21ECI038		0%
BT21ECI039		0%
BT21ECI040		0%
BT21ECI041		0%
BT21ECI042		0%
BT21ECI043		0%
BT21ECI044		0%
BT21ECI045		0%
BT21ECI046		0%
BT21ECI047		0%
BT21ECI048		0%
BT21ECI049		0%
BT21ECI050		0%
BT21ECI051		0%
BT21ECI052		0%
BT21ECI053		0%
BT21ECI054		0%
BT21ECI055		0%
BT21ECI056		0%
BT21ECI057		0%
BT21ECI058		0%
BT21ECI059		0%
BT21ECI060		0%
BT21ECI061		0%
BT21ECI062		0%
BT21ECI063		0%
BT21ECI064		0%
BT21ECI065		0%
BT21ECI066		0%
BT21ECI067		0%
BT21ECI068		0%
BT21ECI069		0%
BT21ECI070		0%
1522		0%
1922		0%
2422		0%
2822		0%
2922		0%
3322		0%
3522		0%
4222		0%
4722		0%
4822		0%
4922		0%
5722		0%
6022		0%
6422		0%
6822		0%
7122		0%
7722		0%
9322		0%
9522		0%
9622		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
BT22CSD001		0%
BT22CSD002		0%
BT22CSD003		0%
BT22CSD004		0%
BT22CSD005		0%
BT22CSD006		0%
BT22CSD007		0%
BT22CSD008		0%
BT22CSD009		0%
BT22CSD010		0%
BT22CSD011		0%
BT22CSD012		0%
BT22CSD013		0%
BT22CSD014		0%
BT22CSD015		0%
BT22CSD016		0%
BT22CSD017		0%
BT22CSD018		0%
BT22CSD019		0%
BT22CSD020		0%
BT22CSD021		0%
BT22CSD022		0%
BT22CSD023		0%
BT22CSD024		0%
BT22CSD025		0%
BT22CSD026		0%
BT22CSD027		0%
BT22CSD028		0%
BT22CSD029		0%
BT22CSD030		0%
BT22CSD031		0%
BT22CSD032		0%
BT22CSD033		0%
BT22CSD034		0%
BT22CSD035		0%
BT22CSD036		0%
BT22CSD037		0%
BT22CSD038		0%
BT22CSD039		0%
BT22CSD040		0%
BT22CSD041		0%
BT22CSD042		0%
BT22CSD043		0%
BT22CSD044		0%
BT22CSD045		0%
BT22CSD046		0%
BT22CSD047		0%
BT22CSD048		0%
BT22CSD049		0%
BT22CSD050		0%
BT22CSD051		0%
BT22CSD052		0%
BT22CSD053		0%
BT22CSD054		0%
BT22CSD055		0%
BT22CSD056		0%
BT22CSD057		0%
BT22CSD058		0%
BT22CSD059		0%
BT22CSD060		0%
BT22CSD061		0%
BT22CSD062		0%
BT22CSD063		0%
BT22CSD064		0%
BT22CSD065		0%
BT22CSD066		0%
BT22CSD067		0%
BT22CSD068		0%
BT22CSD069		0%
BT22CSD070		0%
BT22CSE001		100%
BT22CSE002		100%
BT22CSE003		100%
BT22CSE004		100%
BT22CSE005		0%
BT22CSE006		0%
BT22CSE007		100%
BT22CSE008		100%
BT22CSE009		0%
BT22CSE010		100%
BT22CSE011		100%
BT22CSE012		0%
BT22CSE013		0%
BT22CSE014		0%
BT22CSE015		100%
BT22CSE016		100%
BT22CSE017		100%
BT22CSE018		100%
BT22CSE019		0%
BT22CSE020		0%
BT22CSE021		100%
BT22CSE022		100%
BT22CSE023		100%
BT22CSE024		0%
BT22CSE025		100%
BT22CSE026		100%
BT22CSE027		100%
BT22CSE028		100%
BT22CSE029		100%
BT22CSE030		100%
BT22CSE031		100%
BT22CSE032		100%
BT22CSE033		0%
BT22CSE034		100%
BT22CSE035		100%
BT22CSE036		100%
BT22CSE037		100%
BT22CSE038		100%
BT22CSE039		100%
BT22CSE040		100%
BT22CSE041		100%
BT22CSE042		100%
BT22CSE043		100%
BT22CSE044		100%
BT22CSE045		100%
BT22CSE046		100%
BT22CSE047		100%
BT22CSE048		100%
BT22CSE049		100%
BT22CSE050		100%
BT22CSE051		100%
BT22CSE052		100%
BT22CSE053		100%
BT22CSE054		100%
BT22CSE055		100%
BT22CSE056		100%
BT22CSE057		100%
BT22CSE058		0%
BT22CSE059		100%
BT22CSE060		100%
BT22CSE061		100%
BT22CSE062		100%
BT22CSE063		100%
BT22CSE064		100%
BT22CSE065		100%
BT22CSE066		100%
BT22CSE067		100%
BT22CSE068		100%
BT22CSE069		100%
BT22CSE070		100%
BT22CSE071		100%
BT22CSE072		100%
BT22CSE073		100%
BT22CSE074		100%
BT22CSE075		100%
BT22CSE076		0%
BT22CSE077		100%
BT22CSE078		100%
BT22CSE079		100%
BT22CSE080		100%
BT22CSE081		100%
BT22CSE082		100%
BT22CSE083		100%
BT22CSE084		100%
BT22CSE085		100%
BT22CSE086		100%
BT22CSE087		0%
BT22CSE088		100%
BT22CSE089		100%
BT22CSE090		100%
BT22CSE091		100%
BT22CSE092		0%
BT22CSE093		100%
BT22CSE094		100%
BT22CSE095		100%
BT22CSE096		100%
BT22CSE097		100%
BT22CSE098		0%
BT22CSE099		100%
BT22CSE100		0%
BT22CSE101		100%
BT22CSE102		100%
BT22CSE103		100%
BT22CSE104		100%
BT22CSE105		100%
BT22CSE106		0%
BT22CSE107		100%
BT22CSE108		100%
BT22CSE109		100%
BT22CSE110		100%
BT22CSE111		0%
BT22CSE112		100%
BT22CSE113		100%
BT22CSE114		100%
BT22CSE115		100%
BT22CSE116		100%
BT22CSE117		100%
BT22CSE118		100%
BT22CSE119		100%
BT22CSE120		100%
BT22CSE121		0%
BT22CSE122		100%
BT22CSE123		100%
BT22CSE124		100%
BT22CSE125		100%
BT22CSE126		100%
BT22CSE127		100%
BT22CSE128		100%
BT22CSE129		100%
BT22CSE130		100%
BT22CSE131		100%
BT22CSE132		100%
BT22CSE133		100%
BT22CSE134		100%
BT22CSE135		100%
BT22CSE136		100%
BT22CSE137		0%
BT22CSE138		100%
BT22CSE139		100%
BT22CSE140		100%
BT22CSE141		100%
BT22CSE142		100%
BT22CSE143		100%
BT22CSE144		0%
BT22CSE145		100%
BT22CSE146		100%
BT22CSE147		100%
BT22CSE148		100%
BT22CSE149		100%
BT22CSE150		100%
BT22CSE151		100%
BT22CSE152		100%
BT22CSE153		100%
BT22CSE154		100%
BT22CSE155		100%
BT22CSE156		100%
BT22CSE157		100%
BT22CSE158		100%
BT22CSE159		100%
BT22CSE160		100%
BT22CSE161		100%
BT22CSE162		100%
BT22CSE163		100%
BT22CSE164		100%
BT22CSE165		100%
BT22CSE166		100%
BT22CSE167		100%
BT22CSE168		100%
BT22CSE169		100%
BT22CSE170		100%
BT22CSE171		100%
BT22CSE172		100%
BT22CSE173		100%
BT22CSE174		100%
BT22CSE175		100%
BT22CSE176		100%
BT22CSE177		100%
BT22CSE178		100%
BT22CSE179		100%
BT22CSE180		100%
BT22CSE181		100%
BT22CSE182		100%
BT22CSE183		100%
BT22CSE184		100%
BT22CSE185		100%
BT22CSE186		100%
BT22CSE187		0%
BT22CSE188		100%
BT22CSE189		100%
BT22CSE190		100%
BT22CSE191		100%
BT22CSE192		100%
BT22CSE193		100%
BT22CSE194		100%
